id,user_id,vehicle_model_id,travel_type_id,package_id,from_area_id,to_area_id,from_city_id,to_city_id,from_date,online_booking,mobile_site_booking,booking_created,from_lat,from_long,to_lat,to_long,Car_Cancellation
132577,39439,12,2,NULL,89,393,NULL,NULL,01-02-2013 07:00,0,0,01-01-2013 20:42,12.96519,77.71932,13.19956,77.70688,0
132578,22216,12,2,NULL,1136,393,NULL,NULL,01-02-2013 13:30,1,0,01-01-2013 20:43,12.99049,77.69798,13.19956,77.70688,0
132579,22217,12,2,NULL,1033,1189,NULL,NULL,01-01-2013 22:45,0,0,01-01-2013 20:59,12.906358,77.599547,12.91873,77.61494,0
132580,19469,85,2,NULL,393,392,NULL,NULL,01-02-2013 12:15,0,0,01-01-2013 21:04,13.19956,77.70688,12.986284,77.735245,0
132581,15815,12,2,NULL,145,871,NULL,NULL,01-02-2013 08:15,0,0,01-01-2013 21:31,12.99067,77.65587,12.98712,77.56624,0
132583,21903,12,2,NULL,1384,1053,NULL,NULL,01-02-2013 06:15,1,0,01-01-2013 21:54,13.02853,77.54625,12.912799,77.589784,0
132585,19545,12,2,NULL,105,1068,NULL,NULL,01-02-2013 10:30,0,0,01-01-2013 22:18,13.01766,77.64503,13.044009,77.606805,0
132587,7500,12,2,NULL,112,393,NULL,NULL,01-02-2013 08:45,0,0,01-01-2013 22:41,12.93331,77.56666,13.19956,77.70688,0
132588,22221,12,2,NULL,1037,393,NULL,NULL,01-02-2013 07:00,0,0,01-01-2013 23:09,12.934048,77.580568,13.19956,77.70688,0
132589,18675,12,2,NULL,1040,585,NULL,NULL,01-02-2013 07:30,0,0,01-01-2013 23:15,12.920078,77.583432,12.97677,77.5727,0
132590,19322,12,2,NULL,515,186,NULL,NULL,01-02-2013 06:30,1,0,01-02-2013 00:41,12.97896,77.67345,12.80257,77.70453,1
132591,12827,12,2,NULL,793,949,NULL,NULL,01-02-2013 09:30,0,0,01-02-2013 07:24,13.02239,77.59492,12.98275,77.61582,0
132592,12827,12,2,NULL,949,793,NULL,NULL,01-02-2013 18:00,0,0,01-02-2013 07:25,12.98275,77.61582,13.02239,77.59492,0
132594,868,12,2,NULL,1330,1384,NULL,NULL,01-03-2013 08:00,0,0,01-02-2013 07:57,12.953434,77.70651,13.02853,77.54625,0
132595,22223,12,2,NULL,455,1183,NULL,NULL,01-02-2013 11:30,0,0,01-02-2013 08:05,12.999874,77.67812,12.965563,77.668576,0
132596,15611,12,2,NULL,516,393,NULL,NULL,01-02-2013 10:30,0,0,01-02-2013 08:05,13.0056,77.65799,13.19956,77.70688,0
132597,22196,85,2,NULL,409,1194,NULL,NULL,01-02-2013 11:00,0,0,01-02-2013 08:12,13.07746,77.60668,13.00446,77.56923,0
132598,21995,28,3,2,87,NULL,NULL,NULL,01-02-2013 12:00,0,0,01-02-2013 08:35,12.97003,77.60658,NULL,NULL,0
132599,25413,12,2,NULL,1032,393,NULL,NULL,01-03-2013 02:00,1,0,01-02-2013 08:39,12.913301,77.685592,13.19956,77.70688,0
132600,21235,12,2,NULL,393,217,NULL,NULL,1/24/2013 11:15,1,0,01-02-2013 08:45,13.19956,77.70688,13.0011,77.6235,0
132602,15529,12,3,2,217,NULL,NULL,NULL,01-02-2013 14:30,0,0,01-02-2013 09:04,13.0011,77.6235,NULL,NULL,0
132604,22226,12,2,NULL,344,585,NULL,NULL,01-02-2013 16:45,1,0,01-02-2013 09:17,12.94788,77.67092,12.97677,77.5727,0
132605,15846,17,3,1,142,NULL,NULL,NULL,01-02-2013 10:30,0,0,01-02-2013 09:18,12.91281,77.60923,NULL,NULL,0
132606,22226,12,2,NULL,344,585,NULL,NULL,01-02-2013 16:45,1,0,01-02-2013 09:21,12.94788,77.67092,12.97677,77.5727,0
132607,22227,23,2,NULL,571,393,NULL,NULL,01-03-2013 17:15,1,0,01-02-2013 09:31,12.95185,77.69642,13.19956,77.70688,0
132608,22228,12,3,2,590,NULL,NULL,NULL,01-02-2013 11:00,0,0,01-02-2013 10:08,13.00826,77.56433,NULL,NULL,0
132609,2005,24,3,1,1086,NULL,NULL,NULL,01-02-2013 12:15,1,0,01-02-2013 10:14,12.907487,77.64729,NULL,NULL,0
132610,22229,12,3,2,1053,NULL,NULL,NULL,01-02-2013 11:30,0,0,01-02-2013 10:29,12.912799,77.589784,NULL,NULL,0
132611,22230,85,2,NULL,1301,393,NULL,NULL,01-02-2013 17:30,0,0,01-02-2013 10:48,12.937222,77.626915,13.19956,77.70688,0
132612,21333,28,2,NULL,1223,585,NULL,NULL,01-02-2013 21:30,0,0,01-02-2013 10:52,13.012419,77.555151,12.97677,77.5727,0
132614,22232,65,2,NULL,963,466,NULL,NULL,01-02-2013 16:00,0,0,01-02-2013 11:17,12.99111,77.59204,13.017436,77.64458,0
132615,22196,65,2,NULL,409,393,NULL,NULL,01-02-2013 19:30,0,0,01-02-2013 11:23,13.07746,77.60668,13.19956,77.70688,0
132616,22233,12,2,NULL,1041,393,NULL,NULL,01-02-2013 16:00,0,0,01-02-2013 11:36,12.974408,77.6648,13.19956,77.70688,0
132617,15485,85,2,NULL,585,1223,NULL,NULL,01-03-2013 10:45,1,0,01-02-2013 11:42,12.97677,77.5727,13.012419,77.555151,0
132618,22235,12,2,NULL,1322,142,NULL,NULL,01-02-2013 18:45,1,0,01-02-2013 11:57,12.889133,77.639811,12.91281,77.60923,0
132619,22234,12,2,NULL,58,1069,NULL,NULL,01-02-2013 12:45,0,0,01-02-2013 11:58,12.88963,77.60119,12.949764,77.643524,0
132620,22236,85,3,2,393,NULL,NULL,NULL,01-02-2013 16:00,1,0,01-02-2013 11:59,13.19956,77.70688,NULL,NULL,0
132621,18777,12,3,1,293,NULL,NULL,NULL,01-02-2013 17:00,1,0,01-02-2013 12:15,12.849482,77.663187,NULL,NULL,0
132623,22238,12,2,NULL,339,1384,NULL,NULL,01-02-2013 16:45,0,0,01-02-2013 12:23,12.91028,77.64512,13.02853,77.54625,0
132624,22196,12,2,NULL,1194,409,NULL,NULL,01-02-2013 14:00,0,0,01-02-2013 12:30,13.00446,77.56923,13.07746,77.60668,0
132625,18521,12,2,NULL,393,763,NULL,NULL,01-04-2013 19:30,0,0,01-02-2013 12:48,13.19956,77.70688,12.96155,77.61572,0
132626,1112,12,2,NULL,353,393,NULL,NULL,01-02-2013 20:15,1,0,01-02-2013 12:59,13.03241,77.59914,13.19956,77.70688,0
132627,22239,85,2,NULL,393,1056,NULL,NULL,01-02-2013 19:30,1,0,01-02-2013 14:06,13.19956,77.70688,12.919199,77.60931,0
132628,22240,12,2,NULL,455,585,NULL,NULL,01-03-2013 16:45,0,0,01-02-2013 14:08,12.999874,77.67812,12.97677,77.5727,0
132629,19387,12,2,NULL,1068,776,NULL,NULL,01-02-2013 17:30,1,0,01-02-2013 14:18,13.044009,77.606805,13.01508,77.67796,0
132630,22242,12,2,NULL,1384,142,NULL,NULL,01-02-2013 14:45,1,0,01-02-2013 14:24,13.02853,77.54625,12.91281,77.60923,0
132631,33406,12,2,NULL,585,168,NULL,NULL,01-02-2013 16:00,0,0,01-02-2013 14:24,12.97677,77.5727,12.99313,77.59828,0
132632,694,28,3,2,6,NULL,NULL,NULL,01-02-2013 16:00,1,0,01-02-2013 14:34,12.97739,77.61762,NULL,NULL,0
132633,19545,12,2,NULL,1068,105,NULL,NULL,01-02-2013 17:30,1,0,01-02-2013 14:46,13.044009,77.606805,13.01766,77.64503,0
132634,5606,12,2,NULL,601,448,NULL,NULL,01-02-2013 18:00,0,0,01-02-2013 14:54,13.02434,77.56593,12.92732,77.63575,0
132635,22243,12,2,NULL,479,393,NULL,NULL,01-03-2013 05:45,0,0,01-02-2013 15:12,13.02298,77.60922,13.19956,77.70688,0
132637,22245,12,2,NULL,112,1084,NULL,NULL,01-02-2013 19:00,0,0,01-02-2013 15:42,12.93331,77.56666,12.892657,77.581866,0
132638,22245,12,2,NULL,112,1084,NULL,NULL,01-02-2013 19:00,0,0,01-02-2013 15:43,12.93331,77.56666,12.892657,77.581866,0
132639,22245,12,2,NULL,1084,112,NULL,NULL,01-02-2013 23:00,0,0,01-02-2013 15:45,12.892657,77.581866,12.93331,77.56666,0
132640,22245,12,2,NULL,1084,112,NULL,NULL,01-02-2013 23:00,0,0,01-02-2013 15:47,12.892657,77.581866,12.93331,77.56666,0
132641,22246,12,3,1,1084,NULL,NULL,NULL,01-02-2013 16:45,0,0,01-02-2013 16:12,12.892657,77.581866,NULL,NULL,0
132642,22248,12,2,NULL,776,393,NULL,NULL,01-03-2013 03:30,0,0,01-02-2013 16:32,13.01508,77.67796,13.19956,77.70688,0
132643,22249,12,2,NULL,1323,393,NULL,NULL,01-03-2013 11:45,0,0,01-02-2013 16:33,12.869805,77.653211,13.19956,77.70688,0
132644,22250,12,2,NULL,1186,393,NULL,NULL,01-03-2013 05:30,0,0,01-02-2013 16:36,13.00983,77.62967,13.19956,77.70688,0
132645,20916,12,2,NULL,253,793,NULL,NULL,01-02-2013 18:00,0,0,01-02-2013 16:47,12.97635,77.61468,13.02239,77.59492,0
132646,22251,85,2,NULL,1378,393,NULL,NULL,01-03-2013 05:15,0,0,01-02-2013 17:18,12.827912,77.679642,13.19956,77.70688,0
132648,5135,12,2,NULL,1054,1384,NULL,NULL,01-02-2013 21:30,0,0,01-02-2013 17:26,12.90184,77.581587,13.02853,77.54625,0
132649,9372,12,2,NULL,466,58,NULL,NULL,01-02-2013 20:00,1,0,01-02-2013 17:27,13.017436,77.64458,12.88963,77.60119,0
132650,22252,12,2,NULL,393,1237,NULL,NULL,01-02-2013 21:15,0,0,01-02-2013 18:04,13.19956,77.70688,12.92645,77.61206,0
132651,70,12,2,NULL,458,571,NULL,NULL,01-02-2013 19:30,0,0,01-02-2013 18:04,13.00037,77.72746,12.95185,77.69642,0
132652,592,12,2,NULL,149,393,NULL,NULL,01-03-2013 04:30,1,0,01-02-2013 18:11,12.93022,77.56039,13.19956,77.70688,0
132653,16903,12,2,NULL,293,292,NULL,NULL,01-02-2013 19:30,0,0,01-02-2013 18:14,12.849482,77.663187,12.93944,77.62923,0
132656,16868,12,2,NULL,293,393,NULL,NULL,01-03-2013 07:30,0,0,01-02-2013 18:52,12.849482,77.663187,13.19956,77.70688,0
132657,22254,12,2,NULL,297,167,NULL,NULL,01-02-2013 20:30,0,0,01-02-2013 19:03,12.99789,77.61488,12.99036,77.58913,0
132658,22254,12,2,NULL,167,297,NULL,NULL,01-02-2013 22:30,0,0,01-02-2013 19:06,12.99036,77.58913,12.99789,77.61488,0
132659,22255,12,2,NULL,352,393,NULL,NULL,01-03-2013 04:00,0,0,01-02-2013 19:19,13.03369,77.62821,13.19956,77.70688,0
132661,33542,12,2,NULL,393,171,NULL,NULL,01-02-2013 22:15,0,0,01-02-2013 19:25,13.19956,77.70688,12.98479,77.66128,0
132662,22257,12,2,NULL,83,410,NULL,NULL,01-02-2013 20:00,0,0,01-02-2013 19:36,12.92415,77.67229,13.05121,77.54113,0
132663,22259,12,2,NULL,1068,793,NULL,NULL,01-02-2013 20:15,0,0,01-02-2013 19:40,13.044009,77.606805,13.02239,77.59492,0
132664,21148,12,2,NULL,585,458,NULL,NULL,01-02-2013 21:45,0,0,01-02-2013 20:16,12.97677,77.5727,13.00037,77.72746,0
132665,1649,12,2,NULL,625,393,NULL,NULL,01-03-2013 03:45,0,0,01-02-2013 20:26,12.95431,77.6553,13.19956,77.70688,0
132666,17888,12,2,NULL,849,1312,NULL,NULL,01-03-2013 08:15,1,0,01-02-2013 20:38,12.95434,77.60072,12.839879,77.658145,0
132667,21761,12,2,NULL,392,297,NULL,NULL,01-02-2013 22:30,1,0,01-02-2013 20:39,12.986284,77.735245,12.99789,77.61488,0
132668,22260,12,2,NULL,1095,136,NULL,NULL,01-03-2013 10:15,0,0,01-02-2013 21:08,12.92415,77.67229,12.90796,77.62418,0
132669,21050,12,2,NULL,463,1026,NULL,NULL,01-03-2013 05:00,0,0,01-02-2013 21:17,12.96037,77.58132,13.10482,77.57631,0
132670,22261,12,2,NULL,1371,450,NULL,NULL,01-03-2013 04:30,0,0,01-02-2013 21:22,13.000418,77.674835,12.9334,77.62652,0
132671,22262,12,2,NULL,1244,393,NULL,NULL,01-03-2013 05:30,0,0,01-02-2013 21:26,12.96462,77.68779,13.19956,77.70688,0
132672,22263,12,2,NULL,691,393,NULL,NULL,01-04-2013 06:15,0,0,01-02-2013 21:33,12.93611,77.60751,13.19956,77.70688,0
132673,2380,12,2,NULL,484,1038,NULL,NULL,01-02-2013 22:45,0,0,01-02-2013 21:36,12.90013,77.48279,12.981266,77.637162,0
132674,22264,12,2,NULL,692,478,NULL,NULL,01-02-2013 23:00,0,0,01-02-2013 21:55,12.97137,77.58692,12.9221,77.55263,0
132675,12565,12,2,NULL,585,1166,NULL,NULL,01-03-2013 06:45,0,0,01-02-2013 21:58,12.97677,77.5727,12.997198,77.669514,0
132676,22265,12,2,NULL,156,585,NULL,NULL,01-03-2013 06:30,0,0,01-02-2013 22:09,13.02622,77.70143,12.97677,77.5727,0
132677,22266,12,2,NULL,1192,968,NULL,NULL,01-03-2013 06:00,0,0,01-02-2013 22:14,12.97677,77.5727,12.96555,77.61912,0
132678,18150,12,2,NULL,393,1341,NULL,NULL,01-03-2013 21:30,1,0,01-02-2013 23:05,13.19956,77.70688,12.979703,77.69382,0
132679,22267,12,2,NULL,393,1044,NULL,NULL,1/14/2013 12:00,1,0,01-03-2013 00:52,13.19956,77.70688,12.968887,77.644329,0
132681,21941,85,2,NULL,585,112,NULL,NULL,01-03-2013 09:00,0,0,01-03-2013 07:36,12.97677,77.5727,12.93331,77.56666,0
132682,21967,23,2,NULL,585,271,NULL,NULL,01-03-2013 09:00,0,0,01-03-2013 07:41,12.97677,77.5727,12.95641,77.64076,0
132683,22268,12,2,NULL,1083,1384,NULL,NULL,01-03-2013 12:45,0,0,01-03-2013 07:56,12.900648,77.589183,13.02853,77.54625,0
132684,22270,28,3,1,601,NULL,NULL,NULL,01-03-2013 09:15,0,0,01-03-2013 08:24,13.02434,77.56593,NULL,NULL,0
132685,22271,12,2,NULL,1021,156,NULL,NULL,01-03-2013 10:00,0,0,01-03-2013 08:58,13.02853,77.54625,13.02622,77.70143,0
132686,4227,12,2,NULL,339,1010,NULL,NULL,01-03-2013 10:15,0,0,01-03-2013 09:18,12.91028,77.64512,12.96691,77.74935,0
132687,22272,23,2,NULL,949,1191,NULL,NULL,01-03-2013 10:00,1,0,01-03-2013 09:22,12.98275,77.61582,13.03017,77.56684,0
132688,55,85,2,NULL,61,393,NULL,NULL,01-04-2013 18:30,1,0,01-03-2013 09:23,12.96298,77.71229,13.19956,77.70688,0
132689,22273,24,2,NULL,1096,393,NULL,NULL,01-03-2013 17:30,0,0,01-03-2013 09:28,12.96519,77.71932,13.19956,77.70688,0
132690,22274,12,2,NULL,572,793,NULL,NULL,01-03-2013 12:00,0,0,01-03-2013 09:45,12.91873,77.61494,13.02239,77.59492,0
132692,1256,12,3,1,58,NULL,NULL,NULL,01-03-2013 12:00,0,0,01-03-2013 10:11,12.88963,77.60119,NULL,NULL,0
132693,20432,12,3,1,149,NULL,NULL,NULL,01-03-2013 11:00,0,0,01-03-2013 10:25,12.93022,77.56039,NULL,NULL,0
132694,1290,12,2,NULL,571,1021,NULL,NULL,01-04-2013 08:00,0,0,01-03-2013 10:29,12.95185,77.69642,13.02853,77.54625,0
132695,41448,12,3,1,767,NULL,NULL,NULL,01-05-2013 14:30,1,0,01-03-2013 10:32,12.9122,77.51043,NULL,NULL,0
132697,22275,28,1,NULL,136,NULL,1,152,01-04-2013 09:30,1,0,01-03-2013 12:19,12.90796,77.62418,NULL,NULL,0
132698,22276,12,2,NULL,571,585,NULL,NULL,01-04-2013 04:45,1,0,01-03-2013 13:00,12.95185,77.69642,12.97677,77.5727,0
132699,21995,12,2,NULL,87,585,NULL,NULL,01-03-2013 17:00,0,0,01-03-2013 13:11,12.97003,77.60658,12.97677,77.5727,0
132700,22277,85,2,NULL,1155,1384,NULL,NULL,01-04-2013 06:45,1,0,01-03-2013 13:14,12.90245,77.66081,13.02853,77.54625,0
132701,21343,85,2,NULL,410,393,NULL,NULL,01-04-2013 08:30,0,0,01-03-2013 13:27,13.05121,77.54113,13.19956,77.70688,0
132702,22278,12,2,NULL,157,585,NULL,NULL,01-03-2013 16:00,0,0,01-03-2013 13:31,13.00858,77.66079,12.97677,77.5727,0
132703,22279,12,2,NULL,689,585,NULL,NULL,01-03-2013 17:30,0,0,01-03-2013 13:36,12.97672,77.64927,12.97677,77.5727,0
132704,22280,12,2,NULL,87,243,NULL,NULL,01-03-2013 16:15,0,0,01-03-2013 13:37,12.97003,77.60658,13.24373,77.70915,0
132705,22281,85,2,NULL,293,585,NULL,NULL,01-03-2013 21:30,0,0,01-03-2013 13:54,12.849482,77.663187,12.97677,77.5727,0
132706,868,12,3,1,824,NULL,NULL,NULL,01-03-2013 15:00,0,0,01-03-2013 14:13,13.06557,77.58646,NULL,NULL,0
132707,22274,12,2,NULL,793,572,NULL,NULL,01-03-2013 16:00,0,0,01-03-2013 14:56,13.02239,77.59492,12.91873,77.61494,0
132708,2858,12,2,NULL,1010,585,NULL,NULL,01-03-2013 16:00,0,0,01-03-2013 14:57,12.96691,77.74935,12.97677,77.5727,0
132709,22282,65,2,NULL,450,393,NULL,NULL,01-05-2013 07:15,1,0,01-03-2013 15:10,12.9334,77.62652,13.19956,77.70688,0
132710,22283,12,2,NULL,1384,171,NULL,NULL,01-04-2013 07:30,1,0,01-03-2013 15:13,13.02853,77.54625,12.98479,77.66128,0
132712,868,12,2,NULL,353,393,NULL,NULL,01-04-2013 04:00,0,0,01-03-2013 15:37,13.03241,77.59914,13.19956,77.70688,0
132713,22285,12,2,NULL,1085,393,NULL,NULL,01-04-2013 04:15,1,0,01-03-2013 16:01,12.911942,77.651582,13.19956,77.70688,0
132714,15676,12,2,NULL,1096,393,NULL,NULL,01-04-2013 04:00,0,0,01-03-2013 16:07,12.96519,77.71932,13.19956,77.70688,0
132715,22286,12,2,NULL,1388,1390,NULL,NULL,01-03-2013 18:00,1,0,01-03-2013 16:16,12.919722,77.592806,12.969368,77.641302,0
132716,22378,12,2,NULL,1199,393,NULL,NULL,01-03-2013 18:30,1,0,01-03-2013 16:22,12.975066,77.6027,13.19956,77.70688,0
132717,22288,12,2,NULL,1371,689,NULL,NULL,01-03-2013 22:45,1,0,01-03-2013 16:41,13.000418,77.674835,12.97672,77.64927,0
132718,18521,12,2,NULL,393,1046,NULL,NULL,01-04-2013 19:30,0,0,01-03-2013 17:02,13.19956,77.70688,12.940301,77.582756,0
132719,22289,12,2,NULL,197,1384,NULL,NULL,01-03-2013 21:45,1,0,01-03-2013 17:11,12.9119,77.54682,13.02853,77.54625,0
132720,20916,12,2,NULL,253,793,NULL,NULL,01-03-2013 18:15,0,0,01-03-2013 17:14,12.97635,77.61468,13.02239,77.59492,0
132721,22290,87,2,NULL,151,393,NULL,NULL,01-04-2013 13:00,1,0,01-03-2013 17:25,12.89406,77.56452,13.19956,77.70688,0
132722,21577,12,2,NULL,25,186,NULL,NULL,01-03-2013 19:30,0,0,01-03-2013 17:26,12.98059,77.57475,12.80257,77.70453,0
132723,22291,28,2,NULL,410,585,NULL,NULL,01-03-2013 20:15,0,0,01-03-2013 17:39,13.05121,77.54113,12.97677,77.5727,0
132724,22292,36,3,2,541,NULL,NULL,NULL,01-04-2013 19:30,0,0,01-03-2013 17:44,12.93524,77.61997,NULL,NULL,0
132725,22063,12,2,NULL,585,767,NULL,NULL,01-03-2013 22:30,0,0,01-03-2013 17:49,12.97677,77.5727,12.9122,77.51043,0
